CityID,City,State,lat,lng,source
4001,Abilene,TX,32.44874,-99.73314,geonames_auto
4002,Akron,OH,41.08144,-81.51901,geonames_auto
4003,Albany,NY,42.65258,-73.75623,geonames_auto
4004,Albuquerque,NM,35.08449,-106.65114,geonames_auto
4005,Allentown,PA,40.60843,-75.49018,geonames_auto
4006,Ames,IA,42.03471,-93.61994,geonames_auto
4007,Amherst,MA,42.36723,-72.51852,geonames_auto
4008,Anaheim,CA,33.83529,-117.9145,geonames_auto
4009,Anchorage,AK,61.21806,-149.90028,geonames_auto
4010,Ann Arbor,MI,42.27756,-83.74088,geonames_auto
4011,Annapolis,MD,38.97859,-76.49184,geonames_auto
4012,Arlington,TX,32.73569,-97.10807,geonames_auto
4013,Asheville,NC,35.60095,-82.55402,geonames_auto
4014,Athens,GA,33.96095,-83.37794,geonames_auto
4015,Athens,OH,39.32924,-82.10126,geonames_auto
4016,Atlanta,GA,33.749,-84.38798,geonames_auto
4017,Atlantic City,NJ,39.36415,-74.42306,geonames_auto
4018,Auburn,AL,32.60986,-85.48078,geonames_auto
4019,Auburn Hills,MI,42.68753,-83.2341,geonames_auto
4020,Austin,TX,30.26715,-97.74306,geonames_auto
4021,Bakersfield,CA,35.37329,-119.01871,geonames_auto
4022,Baltimore,MD,39.29038,-76.61219,geonames_auto
4023,Bangor,ME,44.79884,-68.77265,geonames_auto
4024,Baton Rouge,LA,30.44332,-91.18747,geonames_auto
4025,Bayamon,PR,18.39856,-66.15572,geonames_auto
4026,Beaumont,TX,30.08605,-94.10185,geonames_auto
4027,Berkeley,CA,37.87159,-122.27275,geonames_auto
4028,Bethlehem,PA,40.62593,-75.37046,geonames_auto
4029,Billings,MT,45.78329,-108.50069,geonames_auto
4030,Birmingham,AL,33.52066,-86.80249,geonames_auto
4031,Blacksburg,VA,37.22957,-80.41394,geonames_auto
4032,Bloomington,IN,39.16533,-86.52639,geonames_auto
4033,Boca Raton,FL,26.35869,-80.0831,geonames_auto
4034,Boiling Springs,NC,35.25429,-81.66704,geonames_auto
4035,Boise,ID,43.6135,-116.20345,geonames_auto
4036,Boone,NC,36.21679,-81.67455,geonames_auto
4037,Borinquen,PR,18.02469,-66.61295,geonames_auto
4038,Bossier City,LA,32.51599,-93.73212,geonames_auto
4039,Boston,MA,42.35843,-71.05977,geonames_auto
4040,Boulder,CO,40.01499,-105.27055,geonames_auto
4041,Bowling Green,KY,36.99032,-86.4436,geonames_auto
4042,Bowling Green,OH,41.37477,-83.65132,geonames_auto
4043,Bozeman,MT,45.67965,-111.03856,geonames_auto
4044,Bridgeport,CT,41.17923,-73.18945,geonames_auto
4045,Bronx,NY,40.84985,-73.86641,geonames:The Bronx
4046,Brookings,SD,44.31136,-96.79839,geonames_auto
4047,Brooklyn,NY,40.6501,-73.94958,geonames_auto
4048,Brooklyn Heights,NY,40.69538,-73.99375,geonames_auto
4049,Buffalo,NY,42.88645,-78.87837,geonames_auto
4050,Buies Creek,NC,35.41322,-78.73557,geonames_auto
4051,Burlington,VT,44.47588,-73.21207,geonames_auto
4052,Cambridge,MA,42.3751,-71.10561,geonames_auto
4053,Cancun,MX,21.17429,-86.84656,geonames:Cancún
4054,Cape Girardeau,MO,37.30588,-89.51815,geonames_auto
4055,Carbondale,IL,37.72727,-89.21675,geonames_auto
4056,Casper,WY,42.86663,-106.31308,geonames_auto
4057,Cedar City,UT,37.67748,-113.06189,geonames_auto
4058,Cedar Falls,IA,42.52776,-92.44547,geonames_auto
4059,Cedar Park,TX,30.5052,-97.82029,geonames_auto
4060,Champaign,IL,40.11642,-88.24338,geonames_auto
4061,Chapel Hill,NC,35.9132,-79.05584,geonames_auto
4062,Charleston,IL,39.49615,-88.17615,geonames_auto
4063,Charleston,NC,32.77632,-79.93275,geonames:Charleston SC
4064,Charleston,SC,32.77632,-79.93275,geonames_auto
4065,Charleston,WV,38.34982,-81.63262,geonames_auto
4066,Charlotte,NC,35.22709,-80.84313,geonames_auto
4067,Charlottesville,VA,38.02931,-78.47668,geonames_auto
4068,Chattanooga,TN,35.04563,-85.30968,geonames_auto
4069,Cheney,WA,47.48739,-117.57576,geonames_auto
4070,Chestnut Hill,MA,42.33065,-71.16616,geonames_auto
4071,Chicago,IL,41.85003,-87.65005,geonames_auto
4072,Cincinnati,OH,39.12711,-84.51439,geonames_auto
4073,Clarksville,TN,36.52977,-87.35945,geonames_auto
4074,Clemson,SC,34.68344,-82.83737,geonames_auto
4075,Cleveland,OH,41.4995,-81.69541,geonames_auto
4076,Clinton,SC,34.47263,-81.88066,geonames_auto
4077,College Park,MD,38.98067,-76.93692,geonames_auto
4078,College Station,TX,30.62798,-96.33441,geonames_auto
4079,Columbia,SC,34.00071,-81.03481,geonames_auto
4080,Columbus,OH,39.96118,-82.99879,geonames_auto
4081,Conway,AR,35.0887,-92.4421,geonames_auto
4082,Conway,SC,33.836,-79.04781,geonames_auto
4083,Cookeville,TN,36.16284,-85.50164,geonames_auto
4084,Coral Gables,FL,25.72149,-80.26838,geonames_auto
4085,Corpus Christi,TX,27.80058,-97.39638,geonames_auto
4086,Corvallis,OR,44.56457,-123.26204,geonames_auto
4087,Cullowhee,NC,35.31371,-83.17653,geonames_auto
4088,Dallas,TX,32.78306,-96.80667,geonames_auto
4089,Davidson,NC,35.50233,-80.83912,geonames_auto
4090,Davis,CA,38.54491,-121.74052,geonames_auto
4091,Dayton,OH,39.75895,-84.19161,geonames_auto
4092,Daytona Beach,FL,29.21081,-81.02283,geonames_auto
4093,DeKalb,IL,41.92947,-88.75036,geonames_auto
4094,DeLand,FL,29.02832,-81.30312,geonames_auto
4095,Denton,TX,33.21484,-97.13307,geonames_auto
4096,Denver,CO,39.73915,-104.9847,geonames_auto
4097,Des Moines,IA,41.60054,-93.60911,geonames_auto
4098,Detroit,MI,42.33143,-83.04575,geonames_auto
4099,Dover,DE,39.15817,-75.52437,geonames_auto
4100,Duluth,GA,34.00288,-84.14464,geonames_auto
4101,Durham,NC,35.99403,-78.89862,geonames_auto
4102,Durham,NH,43.13397,-70.92645,geonames_auto
4103,East Lansing,MI,42.73698,-84.48387,geonames_auto
4104,East Rutherford,NJ,40.83399,-74.09709,geonames_auto
4105,Easton,PA,40.68843,-75.22073,geonames_auto
4106,Edinburg,TX,26.30174,-98.16334,geonames_auto
4107,Edwardsville,IL,38.81144,-89.95316,geonames_auto
4108,El Paso,TX,31.75872,-106.48693,geonames_auto
4109,Elon,NC,36.10291,-79.50669,geonames_auto
4110,Emmitsburg,MD,39.70454,-77.32693,geonames_auto
4111,Estero,FL,26.43814,-81.80675,geonames_auto
4112,Eugene,OR,44.05207,-123.08675,geonames_auto
4113,Evanston,IL,42.04114,-87.69006,geonames_auto
4114,Evansville,IN,37.97476,-87.55585,geonames_auto
4115,Fairfax,VA,38.84622,-77.30637,geonames_auto
4116,Fairfield,CT,41.14121,-73.26373,geonames_auto
4117,Fargo,ND,46.87719,-96.7898,geonames_auto
4118,Farmville,VA,37.3021,-78.39194,geonames_auto
4119,Fayetteville,AR,36.06258,-94.15743,geonames_auto
4120,Flagstaff,AZ,35.19807,-111.65127,geonames_auto
4121,Fort Collins,CO,40.58526,-105.08442,geonames_auto
4122,Fort Hood,TX,31.25488,-97.70917,geonames:Fort Hood
4123,Fort Myers,FL,26.62168,-81.84059,geonames_auto
4124,Fort Wayne,IN,41.1306,-85.12886,geonames_auto
4125,Fort Worth,TX,32.72541,-97.32085,geonames_auto
4126,Fresno,CA,36.74773,-119.77237,geonames_auto
4127,Fullerton,CA,33.87029,-117.92534,geonames_auto
4128,Gainesville,FL,29.65163,-82.32483,geonames_auto
4129,Garland,TX,32.91262,-96.63888,geonames_auto
4130,Glendale,AZ,33.53865,-112.18599,geonames_auto
4131,Glens Falls,NY,43.30952,-73.64401,geonames_auto
4132,Grambling,LA,32.52765,-92.71404,geonames_auto
4133,Grand Forks,ND,47.92526,-97.03285,geonames_auto
4134,Greeley,CO,40.42331,-104.70913,geonames_auto
4135,Green Bay,WI,44.51916,-88.01983,geonames_auto
4136,Greensboro,NC,36.07264,-79.79198,geonames_auto
4137,Greenville,MS,33.40898,-91.05978,geonames_auto
4138,Greenville,NC,35.61266,-77.36635,geonames_auto
4139,Greenville,SC,34.85262,-82.39401,geonames_auto
4140,Greenwood,MS,33.51623,-90.17953,geonames_auto
4141,Gulfport,MS,30.36742,-89.09282,geonames_auto
4142,Hackensack,NJ,40.88593,-74.04347,geonames_auto
4143,Hamden,CT,41.39593,-72.89677,geonames_auto
4144,Hamilton,NY,42.82701,-75.54462,geonames_auto
4145,Hammond,LA,30.50463,-90.46293,geonames_auto
4146,Hampton,VA,37.02987,-76.34522,geonames_auto
4147,Hanover,NH,43.70229,-72.28954,geonames_auto
4148,Harrisonburg,VA,38.44957,-78.86892,geonames_auto
4149,Hartford,CT,41.76371,-72.68509,geonames_auto
4150,Hattiesburg,MS,31.32712,-89.29034,geonames_auto
4151,Hempstead,NY,40.70621,-73.61874,geonames_auto
4152,High Point,NC,35.95569,-80.00532,geonames_auto
4153,Highland Heights,KY,39.03312,-84.45189,geonames_auto
4154,Hoffman Estates,IL,42.04281,-88.0798,geonames_auto
4155,Honolulu,HI,21.30694,-157.85833,geonames_auto
4156,Hot Springs,AR,34.5037,-93.05518,geonames_auto
4157,Houston,TX,29.76328,-95.36327,geonames_auto
4158,Huntington,WV,38.41925,-82.44515,geonames_auto
4159,Huntsville,AL,34.7304,-86.58594,geonames_auto
4160,Huntsville,TX,30.72353,-95.55078,geonames_auto
4161,Indianapolis,IN,39.76838,-86.15804,geonames_auto
4162,Iowa City,IA,41.66113,-91.53017,geonames_auto
4163,Irvine,CA,33.66946,-117.82311,geonames_auto
4164,Ithaca,NY,42.44063,-76.49661,geonames_auto
