home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
arkansas,vanderbilt,-125.0,105.0,1.5,0.5325,0.4675,sbro,2008-03-14
marquette,pittsburgh,-135.0,115.0,2.0,0.5526,0.4474,sbro,2008-03-14
ucla,southern_california,-500.0,400.0,8.0,0.8065,0.1935,sbro,2008-03-14
duke,clemson,-200.0,170.0,4.0,0.6429,0.3571,sbro,2008-03-15
georgetown,pittsburgh,-250.0,210.0,5.0,0.6889,0.3111,sbro,2008-03-15
kentucky,georgia,-170.0,150.0,3.5,0.6115,0.3885,sbro,2008-03-15
nevada_las_vegas,brigham_young,-120.0,100.0,1.0,0.5217,0.4783,sbro,2008-03-15
tennessee,arkansas,-265.0,225.0,6.0,0.7023,0.2977,sbro,2008-03-15
texas,oklahoma,-260.0,220.0,5.5,0.698,0.302,sbro,2008-03-15
ucla,stanford,-175.0,155.0,3.5,0.6187,0.3813,sbro,2008-03-15
arkansas,georgia,-400.0,320.0,8.5,0.7706,0.2294,sbro,2008-03-16
texas,kansas,245.0,-290.0,140.0,0.2805,0.7195,sbro,2008-03-16
duke,belmont,-4500.0,2250.0,20.0,0.9583,0.0417,sbro,2008-03-20
marquette,kentucky,-275.0,235.0,6.0,0.7107,0.2893,sbro,2008-03-20
purdue,baylor,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-20
stanford,cornell,-3000.0,1500.0,15.5,0.9393,0.0607,sbro,2008-03-20
xavier,georgia,-475.0,395.0,9.0,0.8035,0.1965,sbro,2008-03-20
clemson,villanova,-245.0,205.0,5.5,0.6841,0.3159,sbro,2008-03-21
gonzaga,davidson,100.0,-120.0,140.5,0.4783,0.5217,sbro,2008-03-21
tennessee,american,-4000.0,2000.0,19.5,0.9535,0.0465,sbro,2008-03-21
vanderbilt,siena,-295.0,245.0,6.5,0.7204,0.2796,sbro,2008-03-21
kansas,nevada_las_vegas,-1400.0,900.0,13.5,0.9032,0.0968,sbro,2008-03-22
stanford,marquette,-145.0,125.0,2.5,0.5711,0.4289,sbro,2008-03-22
xavier,purdue,-155.0,135.0,3.0,0.5882,0.4118,sbro,2008-03-22
georgetown,davidson,-210.0,180.0,4.5,0.6548,0.3452,sbro,2008-03-23
louisville,oklahoma,-325.0,275.0,7.0,0.7414,0.2586,sbro,2008-03-23
tennessee,butler,-215.0,185.0,4.5,0.6605,0.3395,sbro,2008-03-23
villanova,siena,-230.0,190.0,5.0,0.669,0.331,sbro,2008-03-23
